Numéro;Type election;Annee;Type enregistrement;Numéro tour;Code departement;Code commune;Numéro bdv;Indicatif;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimes;Nombre de listes;Liste;Voix;NOM;ADRESSE
1;MN;2020;V;1;31;555;0001;I;901;574;327;5;1;321;12;Rassemblement Toulousain;12;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
1;MN;2020;V;1;31;555;0001;I;901;574;327;5;1;321;12;Toulouse aux travailleurs, pas aux spéculateurs;1;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
1;MN;2020;V;1;31;555;0001;I;901;574;327;5;1;321;12;Une nouvelle énergie pour Toulouse;43;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Toulouse aux travailleurs, pas aux spéculateurs;0;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Toulouse belle et forte;11;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Debout Toulouse;1;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
2;MN;2020;V;1;31;555;0002;I;895;535;360;1;2;357;12;Pour la cohésion ! L’autre choix;12;CAPITOLE SALLE DES COMMISSIONS;HOTEL DE VILLE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Toulouse aux travailleurs, pas aux spéculateurs;1;ECOLE LAKANAL;17 PL DE LA DAURADE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Lutte ouvrière;1;ECOLE LAKANAL;17 PL DE LA DAURADE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Une nouvelle énergie pour Toulouse;54;ECOLE LAKANAL;17 PL DE LA DAURADE
3;MN;2020;V;1;31;555;0003;I;719;417;302;1;1;300;12;Debout Toulouse;4;ECOLE LAKANAL;17 PL DE LA DAURADE
4;MN;2020;V;1;31;555;0004;I;849;503;346;2;1;343;12;Archipel Citoyen;101;ECOLE LAKANAL;17 PL DE LA DAURADE
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Toulouse aux travailleurs, pas aux spéculateurs;0;MATERNELLE SERMET;71 RUE DU TAUR
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Toulouse belle et forte;12;MATERNELLE SERMET;71 RUE DU TAUR
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Lutte ouvrière;1;MATERNELLE SERMET;71 RUE DU TAUR
5;MN;2020;V;1;31;555;0005;I;762;462;300;3;3;294;12;Une nouvelle énergie pour Toulouse;56;MATERNELLE SERMET;71 RUE DU TAUR
6;MN;2020;V;1;31;555;0006;I;853;486;367;0;0;367;12;Lutte ouvrière;0;MATERNELLE SERMET;71 RUE DU TAUR
6;MN;2020;V;1;31;555;0006;I;853;486;367;0;0;367;12;Toulouse animaliste;6;MATERNELLE SERMET;71 RUE DU TAUR
7;MN;2020;V;1;31;555;0007;I;823;478;345;3;0;342;12;Debout Toulouse;1;MATERNELLE SERMET;71 RUE DU TAUR
9;MN;2020;V;1;31;555;0009;I;978;545;433;3;5;425;12;Archipel Citoyen;179;ECOLE DU NORD;13 BOULEVARD D ARCOLE
9;MN;2020;V;1;31;555;0009;I;978;545;433;3;5;425;12;Toulouse anticapitaliste;6;ECOLE DU NORD;13 BOULEVARD D ARCOLE
10;MN;2020;V;1;31;555;0010;I;1098;647;451;8;2;441;12;Toulouse aux travailleurs, pas aux spéculateurs;3;ECOLE DU NORD;13 BOULEVARD D ARCOLE
11;MN;2020;V;1;31;555;0011;I;1024;570;454;2;1;451;12;Toulouse belle et forte;13;ECOLE DU NORD;13 BOULEVARD D ARCOLE
11;MN;2020;V;1;31;555;0011;I;1024;570;454;2;1;451;12;Toulouse anticapitaliste;2;ECOLE DU NORD;13 BOULEVARD D ARCOLE
12;MN;2020;V;1;31;555;0012;I;947;546;401;4;4;393;12;Rassemblement Toulousain;7;ECOLE DU NORD;13 BOULEVARD D ARCOLE
12;MN;2020;V;1;31;555;0012;I;947;546;401;4;4;393;12;Toulouse anticapitaliste;9;ECOLE DU NORD;13 BOULEVARD D ARCOLE
12;MN;2020;V;1;31;555;0012;I;947;546;401;4;4;393;12;Une nouvelle énergie pour Toulouse;67;ECOLE DU NORD;13 BOULEVARD D ARCOLE
13;MN;2020;V;1;31;555;0013;I;989;587;402;2;2;398;12;Toulouse belle et forte;10;ECOLE BAYARD;60 RUE MATABIAU
14;MN;2020;V;1;31;555;0014;I;1028;665;363;5;0;358;12;Archipel Citoyen;134;ECOLE BAYARD;60 RUE MATABIAU
14;MN;2020;V;1;31;555;0014;I;1028;665;363;5;0;358;12;Une nouvelle énergie pour Toulouse;70;ECOLE BAYARD;60 RUE MATABIAU
15;MN;2020;V;1;31;555;0015;I;877;510;367;3;3;361;12;Lutte ouvrière;0;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Rassemblement Toulousain;8;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Archipel Citoyen;149;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Toulouse animaliste;13;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Toulouse anticapitaliste;7;ECOLE BAYARD;60 RUE MATABIAU
16;MN;2020;V;1;31;555;0016;I;1157;668;489;5;5;479;12;Une nouvelle énergie pour Toulouse;76;ECOLE BAYARD;60 RUE MATABIAU
17;MN;2020;V;1;31;555;0017;I;1110;643;467;2;1;464;12;Toulouse aux travailleurs, pas aux spéculateurs;0;ECOLE BAYARD;60 RUE MATABIAU
17;MN;2020;V;1;31;555;0017;I;1110;643;467;2;1;464;12;Une nouvelle énergie pour Toulouse;101;ECOLE BAYARD;60 RUE MATABIAU
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Toulouse aux travailleurs, pas aux spéculateurs;1;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Toulouse belle et forte;6;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Lutte ouvrière;2;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
18;MN;2020;V;1;31;555;0018;I;697;392;305;2;2;301;12;Une nouvelle énergie pour Toulouse;48;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
19;MN;2020;V;1;31;555;0019;I;798;454;344;4;2;338;12;Toulouse aux travailleurs, pas aux spéculateurs;2;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
19;MN;2020;V;1;31;555;0019;I;798;454;344;4;2;338;12;Pour la cohésion ! L’autre choix;22;CENTRE SPORTIF LEO LAGRANGE;PL PIERRE PAUL RIQUET
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Rassemblement Toulousain;20;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Archipel Citoyen;145;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Aimer Toulouse avec Jean-Luc Moudenc;100;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
20;MN;2020;V;1;31;555;0020;I;1027;621;406;2;10;394;12;Une nouvelle énergie pour Toulouse;84;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Aimer Toulouse avec Jean-Luc Moudenc;124;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Toulouse animaliste;1;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Une nouvelle énergie pour Toulouse;63;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Debout Toulouse;6;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
21;MN;2020;V;1;31;555;0021;I;1041;630;411;3;2;406;12;Pour la cohésion ! L’autre choix;24;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
23;MN;2020;V;1;31;555;0023;I;1000;616;384;3;2;379;12;Rassemblement Toulousain;17;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
23;MN;2020;V;1;31;555;0023;I;1000;616;384;3;2;379;12;Toulouse animaliste;5;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
23;MN;2020;V;1;31;555;0023;I;1000;616;384;3;2;379;12;Une nouvelle énergie pour Toulouse;76;ECOLE BONNEFOY;18 RUE DU FAUBOURG BONNEFOY
24;MN;2020;V;1;31;555;0024;I;1120;633;487;3;2;482;12;Toulouse aux travailleurs, pas aux spéculateurs;0;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
24;MN;2020;V;1;31;555;0024;I;1120;633;487;3;2;482;12;Toulouse belle et forte;17;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Archipel Citoyen;118;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Toulouse animaliste;5;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Une nouvelle énergie pour Toulouse;75;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
25;MN;2020;V;1;31;555;0025;I;895;541;354;2;9;343;12;Debout Toulouse;2;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
26;MN;2020;V;1;31;555;0026;I;659;381;278;1;2;275;12;Toulouse aux travailleurs, pas aux spéculateurs;1;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
26;MN;2020;V;1;31;555;0026;I;659;381;278;1;2;275;12;Toulouse animaliste;5;ESPACE BONNEFOY PERIOLE;270 RUE DE PERIOLE
27;MN;2020;V;1;31;555;0027;I;1104;621;483;2;5;476;12;Rassemblement Toulousain;16;ECOLE PIERRE ET MARIE CURIE;36 RUE DE LA JEUNESSE
