circ;canton;bureau;inscrits;votants;nuls;exprimes;abstentions;toulouse_pour_tous_a;faire_front_pour_tou;avec_francois_simon;les_verts_avec_marie;liste_lutte_ouvriere;retablir_la_securite;100_a_gauche;motive_e_e_repens;liste_pour_la_defens;100_toulouse
2;6;92;987;573;20;553;414;247;16;169;24;15;13;12;55;0;2
6;12;185;647;311;16;295;336;107;14;108;10;5;6;9;33;1;2
1;4;56;767;473;10;463;294;192;15;123;38;8;13;7;66;0;1
2;8;127;715;400;17;383;315;197;10;84;25;4;10;6;43;0;4
3;10;155;772;405;22;383;367;146;23;103;14;10;12;9;56;2;8
2;8;123;984;585;11;574;399;256;21;135;38;8;12;8;86;2;8
4;2;30;814;483;20;463;331;277;14;60;22;1;11;15;52;0;11
5;13;204;884;581;21;560;303;215;17;220;23;11;8;13;47;0;6
3;9;;988;590;37;553;398;214;19;179;36;4;13;23;61;1;3
4;11;167;940;562;12;550;378;229;23;149;29;14;23;14;67;1;1
3;9;146;823;550;28;522;273;180;17;162;38;12;10;18;77;2;6
4;3;47;763;507;8;499;256;209;18;150;24;1;15;14;63;1;4
1;4;68;807;510;17;493;297;247;25;130;16;11;11;9;38;3;3
4;3;43;780;539;16;523;241;210;18;192;14;10;9;3;58;4;5
4;3;49;598;379;11;368;219;131;15;124;22;8;7;6;52;2;1
1;5;85;711;416;11;405;295;174;19;87;34;4;2;7;70;4;4
5;14;211;1 213;774;20;754;439;323;45;221;42;13;15;14;69;3;9
1;5;79;659;363;13;350;296;136;8;82;32;2;5;9;74;1;1
1;7;115;651;373;14;359;278;137;21;121;25;10;9;5;27;0;4
3;10;149;903;553;23;530;350;179;28;171;23;13;23;16;72;3;2
1;1;12;930;552;11;541;378;265;35;128;31;2;18;15;38;4;5
2;6;91;993;566;27;539;427;218;31;174;25;7;14;12;55;0;3
3;10;159;984;617;37;580;367;244;21;174;40;11;5;12;68;0;5
4;3;44;1 102;710;18;692;392;260;18;220;44;10;26;26;79;3;6
6;12;;963;610;13;597;353;267;12;165;51;9;19;11;58;0;5
2;15;214;929;628;28;600;301;226;35;172;41;18;25;21;58;2;2
1;5;82;785;462;20;442;323;225;26;85;18;6;12;7;62;1;0
1;7;104;991;637;12;625;354;292;22;170;40;9;16;16;55;0;5
3;10;163;922;529;17;512;393;201;18;156;44;8;11;16;54;0;4
3;10;160;941;543;17;526;398;234;17;146;42;4;12;14;49;3;5
1;4;67;1 277;829;12;817;448;358;20;185;63;9;9;20;146;5;2
2;8;124;1 084;653;16;637;431;380;16;123;33;0;11;4;62;0;8
4;3;36;1 077;629;12;617;448;238;14;168;47;14;18;16;92;6;4
4;3;41;1 041;682;18;664;359;233;23;213;36;10;21;13;104;2;9
6;12;184;878;439;13;426;439;141;17;162;17;10;20;8;48;2;1
2;8;125;874;545;18;527;329;287;12;94;31;9;14;6;63;1;10
4;11;174;823;507;23;484;316;180;17;156;24;15;25;8;55;1;3
6;12;188;565;333;12;321;232;117;19;120;11;4;15;12;19;0;4
2;8;121;1 013;609;13;596;404;298;13;137;40;6;18;10;69;1;4
5;14;208;825;509;13;496;316;219;21;156;26;9;13;8;42;1;1
1;4;54;660;428;6;422;232;160;5;106;32;13;6;16;72;8;4
