CIRC;CANTON;BUREAU;INSCRITS;VOTANTS;%;NULS;%;EXPRIMES;%;ABSTENTIONS;%;Lutte Ouvrière;%;Toulouse Autrement;%;Toulouse Pour Tous, osons aller plus loin ensemble;%;Toulouse Rassemblée;%;Debout ! Ensemble, la gauche qui ne renonce pas;%;100% Pour Toulouse;%;L'autre Liste;%;Pour la renationalisation d'Airbus, pour la laïcité, contre les directives de l'union européenne;%
1;1;1;1047;537;98.51;8;98.51;529;98.51;510;98.51;6;98.51;42;98.51;242;98.51;180;98.51;25;98.51;4;98.51;30;98.51;0;98.51
1;7;101;1121;649;98.0;13;98.0;636;98.0;472;98.0;4;98.0;40;98.0;235;98.0;243;98.0;62;98.0;5;98.0;46;98.0;1;98.0
3;9;138A;962;642;98.44;10;98.44;632;98.44;320;98.44;3;98.44;29;98.44;315;98.44;235;98.44;21;98.44;0;98.44;28;98.44;1;98.44
1;4;56;1014;577;97.57;14;97.57;563;97.57;437;97.57;3;97.57;44;97.57;227;97.57;201;97.57;46;97.57;4;97.57;36;97.57;2;97.57
3;10;153;804;273;95.97;11;95.97;262;95.97;531;95.97;5;95.97;6;95.97;64;95.97;154;95.97;16;95.97;5;95.97;8;95.97;4;95.97
3;10;158;1132;651;98.31;11;98.31;640;98.31;481;98.31;4;98.31;17;98.31;233;98.31;300;98.31;44;98.31;3;98.31;37;98.31;2;98.31
3;10;161;1008;635;97.95;13;97.95;622;97.95;373;97.95;6;97.95;35;97.95;251;97.95;272;97.95;24;97.95;11;97.95;20;97.95;3;97.95
4;2;025A;1001;575;97.57;14;97.57;561;97.57;426;97.57;6;97.57;36;97.57;196;97.57;254;97.57;29;97.57;10;97.57;29;97.57;1;97.57
4;3;50;997;624;97.44;16;97.44;608;97.44;373;97.44;4;97.44;31;97.44;208;97.44;286;97.44;27;97.44;6;97.44;44;97.44;2;97.44
4;11;178;659;330;96.67;11;96.67;319;96.67;329;96.67;1;96.67;13;96.67;114;96.67;145;96.67;15;96.67;8;96.67;22;96.67;1;96.67
6;12;186;1046;372;98.12;7;98.12;365;98.12;674;98.12;9;98.12;18;98.12;76;98.12;212;98.12;24;98.12;9;98.12;16;98.12;1;98.12
6;12;195B;994;663;99.25;5;99.25;658;99.25;331;99.25;4;99.25;28;99.25;271;99.25;276;99.25;39;99.25;4;99.25;35;99.25;1;99.25
1;1;3;831;458;98.47;7;98.47;451;98.47;373;98.47;1;98.47;35;98.47;271;98.47;117;98.47;11;98.47;1;98.47;15;98.47;0;98.47
1;1;16;901;555;99.1;5;99.1;550;99.1;346;99.1;4;99.1;27;99.1;267;99.1;163;99.1;40;99.1;1;99.1;46;99.1;2;99.1
1;4;69;1002;585;98.12;11;98.12;574;98.12;417;98.12;5;98.12;34;98.12;273;98.12;199;98.12;27;98.12;5;98.12;30;98.12;1;98.12
2;15;220;1062;602;95.51;27;95.51;575;95.51;460;95.51;5;95.51;38;95.51;258;95.51;211;95.51;21;95.51;7;95.51;30;95.51;5;95.51
2;15;222;1107;621;96.62;21;96.62;600;96.62;486;96.62;9;96.62;24;96.62;248;96.62;255;96.62;30;96.62;13;96.62;20;96.62;1;96.62
3;9;138;898;611;98.53;9;98.53;602;98.53;287;98.53;1;98.53;36;98.53;310;98.53;210;98.53;20;98.53;1;98.53;24;98.53;0;98.53
3;10;149;986;559;98.21;10;98.21;549;98.21;427;98.21;3;98.21;25;98.21;220;98.21;222;98.21;35;98.21;6;98.21;35;98.21;3;98.21
3;10;165A;898;633;98.26;11;98.26;622;98.26;265;98.26;4;98.26;40;98.26;296;98.26;239;98.26;24;98.26;2;98.26;17;98.26;0;98.26
4;3;33;985;617;98.87;7;98.87;610;98.87;368;98.87;7;98.87;37;98.87;216;98.87;263;98.87;27;98.87;4;98.87;51;98.87;5;98.87
4;3;36;838;481;98.34;8;98.34;473;98.34;357;98.34;8;98.34;26;98.34;223;98.34;157;98.34;24;98.34;1;98.34;32;98.34;2;98.34
4;3;41;1085;663;98.19;12;98.19;651;98.19;422;98.19;8;98.19;48;98.19;234;98.19;273;98.19;28;98.19;3;98.19;56;98.19;1;98.19
