BV;LE RASSEMBLEMENT CITOYEN;L'ALTERNATIVE RESPONSABLE;TOULOUSE EN MARCHE !;JEAN-LUC MOUDENC UN NOUVEL ELAN POUR TOULOUSE;LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS;A TOULOUSE, PLACE AU PEUPLE - FRONT DE GAUCHE;"""AIMER TOULOUSE""";TOULOUSE VERT DEMAIN EUROPE ECOLOGIE LES VERTS PARTI PIRATE MIDI-PYRENEES;AVEC VOUS, TOULOUSE AVANCE !;TOULOUSE BLEU MARINE;CIRC.;CANTON;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS
00028;18.0;15.0;6.0;244.0;1.0;26.0;9.0;64.0;138.0;33.0;3.0;2.0;1074.0;561.0;7.0;554.0;513.0
00041;14.0;10.0;8.0;165.0;4.0;32.0;14.0;67.0;179.0;44.0;4.0;3.0;975.0;548.0;11.0;537.0;427.0
00072;14.0;22.0;7.0;178.0;2.0;39.0;3.0;38.0;176.0;26.0;1.0;5.0;1046.0;510.0;5.0;505.0;536.0
00105;5.0;5.0;8.0;164.0;7.0;21.0;17.0;23.0;143.0;63.0;2.0;7.0;961.0;472.0;16.0;456.0;489.0
00109;12.0;15.0;9.0;276.0;7.0;22.0;19.0;44.0;152.0;48.0;2.0;7.0;1098.0;619.0;15.0;604.0;479.0
00117;10.0;6.0;6.0;194.0;6.0;33.0;7.0;31.0;177.0;72.0;2.0;7.0;1119.0;551.0;9.0;542.0;568.0
00121;12.0;10.0;5.0;308.0;4.0;26.0;18.0;54.0;148.0;30.0;3.0;8.0;1065.0;621.0;6.0;615.0;444.0
00171;7.0;3.0;16.0;165.0;5.0;28.0;7.0;12.0;139.0;55.0;7.0;11.0;1072.0;450.0;13.0;437.0;622.0
0174A;17.0;11.0;9.0;191.0;5.0;32.0;8.0;16.0;123.0;63.0;7.0;11.0;1093.0;484.0;9.0;475.0;609.0
00192;4.0;4.0;12.0;114.0;3.0;25.0;7.0;18.0;78.0;41.0;4.0;12.0;698.0;315.0;9.0;306.0;383.0
00194;13.0;8.0;6.0;131.0;2.0;23.0;8.0;33.0;131.0;35.0;4.0;12.0;863.0;405.0;15.0;390.0;458.0
00214;23.0;18.0;10.0;231.0;8.0;31.0;13.0;33.0;198.0;78.0;2.0;15.0;1312.0;659.0;16.0;643.0;653.0
00003;7.0;25.0;6.0;240.0;1.0;16.0;8.0;29.0;129.0;30.0;4.0;1.0;919.0;501.0;10.0;491.0;418.0
0044A;10.0;11.0;6.0;173.0;2.0;20.0;17.0;48.0;186.0;37.0;4.0;3.0;1061.0;529.0;19.0;510.0;532.0
00047;16.0;14.0;6.0;172.0;6.0;54.0;5.0;51.0;209.0;44.0;4.0;3.0;1034.0;588.0;11.0;577.0;446.0
00062;8.0;10.0;12.0;155.0;1.0;28.0;13.0;39.0;172.0;48.0;1.0;4.0;1049.0;498.0;12.0;486.0;551.0
00082;16.0;13.0;9.0;194.0;3.0;20.0;11.0;50.0;136.0;26.0;1.0;5.0;976.0;490.0;12.0;478.0;486.0
00086;19.0;25.0;13.0;146.0;3.0;34.0;11.0;53.0;209.0;21.0;1.0;5.0;1070.0;542.0;8.0;534.0;528.0
00127;9.0;12.0;6.0;272.0;3.0;15.0;11.0;26.0;139.0;35.0;3.0;8.0;908.0;537.0;9.0;528.0;371.0
00156;7.0;11.0;7.0;154.0;1.0;16.0;12.0;27.0;145.0;34.0;7.0;10.0;889.0;425.0;11.0;414.0;464.0
00159;12.0;12.0;7.0;207.0;7.0;59.0;12.0;56.0;244.0;39.0;7.0;10.0;1232.0;667.0;12.0;655.0;565.0
00169;4.0;2.0;6.0;126.0;5.0;26.0;2.0;9.0;113.0;58.0;7.0;11.0;953.0;362.0;11.0;351.0;591.0
