BV;JEAN-LUC MOUDENC UN NOUVEL ELAN POUR TOULOUSE;RASSEMBLEE, TOULOUSE AVANCE !;CIRC.;CANTON;INSCRITS;VOTANTS;NULS;EXPRIMES;ABSTENTIONS
00008;217.0;293.0;4.0;1.0;891.0;526.0;16.0;510.0;365.0
00013;259.0;356.0;4.0;1.0;1041.0;638.0;23.0;615.0;403.0
00019;401.0;265.0;3.0;2.0;1084.0;687.0;21.0;666.0;397.0
00032;426.0;147.0;3.0;2.0;848.0;584.0;11.0;573.0;264.0
00044;266.0;320.0;4.0;3.0;971.0;625.0;39.0;586.0;346.0
0049A;274.0;241.0;4.0;3.0;856.0;540.0;25.0;515.0;316.0
00081;226.0;317.0;1.0;5.0;1177.0;558.0;15.0;543.0;619.0
00105;288.0;228.0;2.0;7.0;961.0;536.0;21.0;516.0;425.0
00148;229.0;223.0;7.0;9.0;830.0;471.0;19.0;452.0;359.0
00161;258.0;326.0;7.0;10.0;967.0;596.0;12.0;584.0;371.0
00173;225.0;188.0;7.0;11.0;962.0;434.0;21.0;413.0;528.0
00182;235.0;222.0;7.0;11.0;794.0;479.0;22.0;457.0;315.0
0198A;351.0;234.0;4.0;12.0;955.0;599.0;14.0;585.0;356.0
00204;255.0;370.0;1.0;13.0;1153.0;653.0;28.0;625.0;500.0
00003;342.0;189.0;4.0;1.0;919.0;551.0;20.0;531.0;368.0
00040;323.0;327.0;4.0;3.0;1276.0;671.0;21.0;650.0;605.0
0067A;246.0;286.0;1.0;4.0;929.0;547.0;15.0;532.0;382.0
00085;233.0;245.0;1.0;5.0;994.0;496.0;18.0;478.0;498.0
00087;290.0;374.0;2.0;6.0;1204.0;684.0;21.0;664.0;520.0
00119;458.0;172.0;3.0;8.0;970.0;647.0;17.0;630.0;323.0
00145;289.0;314.0;7.0;9.0;1015.0;625.0;22.0;603.0;390.0
00153;82.0;109.0;7.0;10.0;706.0;193.0;2.0;191.0;513.0
00189;154.0;203.0;4.0;12.0;834.0;373.0;16.0;357.0;461.0
00208;372.0;341.0;1.0;14.0;1196.0;743.0;30.0;713.0;453.0
00213;367.0;243.0;2.0;15.0;1101.0;637.0;27.0;610.0;464.0
00022;384.0;262.0;3.0;2.0;1086.0;658.0;12.0;646.0;428.0
00092;289.0;336.0;2.0;6.0;1185.0;644.0;19.0;625.0;541.0
0113A;292.0;262.0;2.0;7.0;976.0;568.0;14.0;554.0;408.0
00121;406.0;274.0;3.0;8.0;1065.0;695.0;15.0;680.0;370.0
00127;352.0;231.0;3.0;8.0;908.0;592.0;9.0;583.0;316.0
00142;362.0;128.0;3.0;9.0;890.0;504.0;14.0;490.0;386.0
00150;251.0;350.0;7.0;10.0;1022.0;622.0;21.0;601.0;400.0
00168;242.0;242.0;7.0;11.0;934.0;517.0;33.0;484.0;417.0
00188;274.0;297.0;4.0;12.0;1220.0;589.0;18.0;571.0;631.0
00020;424.0;267.0;3.0;2.0;1041.0;711.0;20.0;691.0;330.0
00057;290.0;246.0;1.0;4.0;882.0;546.0;10.0;536.0;336.0
00066;240.0;258.0;1.0;4.0;862.0;518.0;20.0;498.0;344.0
00103;228.0;247.0;2.0;7.0;871.0;496.0;21.0;475.0;375.0
00110;329.0;222.0;2.0;7.0;918.0;573.0;22.0;551.0;345.0
00120;430.0;210.0;3.0;8.0;1059.0;664.0;24.0;640.0;395.0
00125;384.0;236.0;3.0;8.0;957.0;636.0;16.0;620.0;321.0
00128;297.0;300.0;3.0;8.0;1114.0;621.0;24.0;597.0;493.0
00130;340.0;263.0;3.0;8.0;1083.0;625.0;22.0;603.0;458.0
00136;297.0;163.0;3.0;9.0;730.0;477.0;17.0;460.0;253.0
00139;336.0;235.0;3.0;9.0;965.0;589.0;18.0;571.0;376.0
0198B;386.0;276.0;4.0;12.0;1072.0;686.0;24.0;662.0;386.0
0203B;400.0;231.0;1.0;13.0;1049.0;654.0;23.0;631.0;395.0
00028;344.0;275.0;3.0;2.0;1074.0;636.0;17.0;619.0;438.0
0036A;231.0;387.0;4.0;3.0;1124.0;650.0;32.0;618.0;474.0
00078;340.0;326.0;1.0;5.0;1006.0;681.0;15.0;666.0;325.0
00104;343.0;300.0;2.0;7.0;1042.0;659.0;16.0;643.0;383.0
00143;414.0;211.0;3.0;9.0;984.0;646.0;21.0;625.0;338.0
00177;258.0;231.0;7.0;11.0;1084.0;513.0;24.0;489.0;571.0
00184;217.0;213.0;4.0;12.0;1151.0;451.0;21.0;430.0;700.0
00033;243.0;394.0;4.0;3.0;1059.0;662.0;25.0;637.0;397.0
00043;309.0;295.0;4.0;3.0;1026.0;634.0;30.0;604.0;392.0
00056;268.0;275.0;1.0;4.0;1025.0;560.0;17.0;543.0;465.0
00086;244.0;349.0;1.0;5.0;1070.0;613.0;20.0;593.0;457.0
00159;323.0;385.0;7.0;10.0;1232.0;734.0;26.0;708.0;498.0
00226;278.0;241.0;3.0;15.0;987.0;540.0;21.0;519.0;447.0
00039;280.0;369.0;4.0;3.0;1160.0;685.0;36.0;649.0;475.0
00058;268.0;326.0;1.0;4.0;1199.0;615.0;21.0;594.0;584.0
00096;254.0;309.0;2.0;6.0;978.0;590.0;27.0;563.0;388.0
00135;415.0;261.0;3.0;9.0;1027.0;684.0;8.0;676.0;343.0
00157;340.0;373.0;7.0;10.0;1208.0;730.0;17.0;713.0;478.0
00197;357.0;229.0;4.0;12.0;994.0;617.0;31.0;586.0;377.0
00202;301.0;265.0;1.0;13.0;1197.0;597.0;31.0;566.0;600.0
00209;286.0;251.0;1.0;14.0;1102.0;561.0;24.0;537.0;541.0
00210;389.0;253.0;1.0;14.0;1252.0;662.0;20.0;642.0;590.0
00001;303.0;292.0;4.0;1.0;1100.0;607.0;12.0;595.0;493.0
00034;234.0;293.0;4.0;3.0;953.0;551.0;24.0;527.0;402.0
00038;240.0;320.0;4.0;3.0;975.0;587.0;27.0;560.0;388.0
00046;284.0;317.0;4.0;3.0;986.0;630.0;29.0;601.0;356.0
00048;219.0;314.0;4.0;3.0;1004.0;562.0;29.0;533.0;442.0
00054;252.0;298.0;1.0;4.0;991.0;573.0;23.0;550.0;418.0
00067;269.0;317.0;1.0;4.0;983.0;614.0;28.0;586.0;369.0
00077;294.0;305.0;1.0;5.0;976.0;624.0;25.0;599.0;352.0
00083;417.0;353.0;1.0;5.0;1176.0;788.0;18.0;770.0;388.0
00094;248.0;429.0;2.0;6.0;1110.0;703.0;26.0;677.0;407.0
00108;389.0;269.0;2.0;7.0;1029.0;676.0;18.0;658.0;353.0
00114;297.0;258.0;2.0;7.0;1108.0;578.0;23.0;555.0;530.0
00175;170.0;226.0;7.0;11.0;995.0;419.0;23.0;396.0;576.0
00205;333.0;383.0;1.0;13.0;1184.0;739.0;23.0;716.0;445.0
00006;249.0;325.0;4.0;1.0;1098.0;590.0;16.0;574.0;508.0
00037;234.0;268.0;4.0;3.0;890.0;526.0;24.0;502.0;364.0
00052;289.0;255.0;4.0;3.0;1066.0;575.0;31.0;544.0;491.0
00091;246.0;291.0;2.0;6.0;1000.0;560.0;23.0;537.0;440.0
00102;163.0;217.0;2.0;7.0;739.0;395.0;15.0;380.0;344.0
0124A;414.0;214.0;3.0;8.0;982.0;647.0;19.0;628.0;335.0
00132;370.0;222.0;3.0;9.0;1073.0;612.0;20.0;592.0;461.0
00144;396.0;225.0;3.0;9.0;991.0;651.0;30.0;621.0;340.0
00171;264.0;246.0;7.0;11.0;1072.0;526.0;16.0;510.0;546.0
00172;346.0;213.0;7.0;11.0;870.0;582.0;23.0;559.0;288.0
00014;331.0;299.0;4.0;1.0;1014.0;651.0;21.0;630.0;363.0
00023;250.0;380.0;3.0;2.0;1205.0;663.0;33.0;630.0;542.0
00036;239.0;209.0;4.0;3.0;806.0;468.0;20.0;448.0;338.0
0044B;215.0;204.0;4.0;3.0;805.0;437.0;18.0;419.0;368.0
00045;211.0;262.0;4.0;3.0;1038.0;499.0;26.0;473.0;539.0
00055;296.0;354.0;1.0;4.0;1082.0;669.0;19.0;650.0;413.0
00060;292.0;375.0;1.0;4.0;1164.0;687.0;20.0;667.0;477.0
00075;147.0;352.0;1.0;5.0;949.0;516.0;17.0;499.0;433.0
00097;271.0;322.0;2.0;6.0;1084.0;615.0;22.0;593.0;469.0
00112;236.0;223.0;2.0;7.0;841.0;473.0;14.0;459.0;368.0
00131;395.0;233.0;3.0;9.0;1051.0;647.0;19.0;628.0;404.0
00134;402.0;160.0;3.0;9.0;875.0;574.0;12.0;562.0;301.0
00152;163.0;191.0;7.0;10.0;944.0;385.0;31.0;354.0;559.0
00181;188.0;215.0;7.0;11.0;931.0;420.0;17.0;403.0;511.0
00186;177.0;227.0;4.0;12.0;1299.0;432.0;28.0;404.0;867.0
00191;113.0;162.0;4.0;12.0;1000.0;285.0;10.0;275.0;715.0
0201B;395.0;210.0;4.0;12.0;1032.0;625.0;20.0;605.0;407.0
00207;316.0;329.0;1.0;14.0;1141.0;670.0;25.0;645.0;471.0
0108A;251.0;295.0;2.0;7.0;939.0;569.0;24.0;546.0;370.0
00138;366.0;212.0;3.0;9.0;889.0;595.0;17.0;578.0;294.0
00154;150.0;177.0;7.0;10.0;809.0;335.0;8.0;327.0;474.0
00178;198.0;236.0;7.0;11.0;971.0;455.0;18.0;434.0;516.0
00195;259.0;185.0;4.0;12.0;811.0;457.0;13.0;444.0;354.0
0195B;364.0;342.0;4.0;12.0;1078.0;747.0;41.0;706.0;331.0
00198;414.0;292.0;4.0;12.0;1241.0;737.0;31.0;706.0;504.0
00012;378.0;268.0;4.0;1.0;1116.0;659.0;13.0;646.0;457.0
00015;309.0;362.0;4.0;1.0;1078.0;691.0;20.0;671.0;387.0
