Numéro;Type election;Annee;Type enregistrement;Numéro tour;Code departement;Code commune;Numéro bdv;Indicatif;Inscrits;Abstentions;Votants;Votants emargement;Blancs;Nuls;Exprimes;Nombre de listes;Toulouse anticapitaliste;Nombre de voix de la liste : Toulouse anticapitaliste;Archipel Citoyen;Nombre de voix de la liste : Archipel Citoyen;Aimer Toulouse avec Jean-Luc Moudenc;Nombre de voix de la liste : Aimer Toulouse avec Jean-Luc Moudenc;En avant Toulouse;Nombre de voix de la liste : En avant Toulouse;Pour la cohésion ! L’autre choix;Nombre de voix de la liste : Pour la cohésion ! L’autre choix;Rassemblement Toulousain;Nombre de voix de la liste : Rassemblement Toulousain;Une nouvelle énergie pour Toulouse. La gauche, l’écologie, les toulousain.e.s;Nombre de voix de la liste : Une nouvelle énergie pour Toulouse. La gauche, l’écologie, les toulousain.e.s;Debout Toulouse;Nombre de voix de la liste : Debout Toulouse;Toulouse animaliste;Nombre de voix de la liste : Toulouse animaliste;Toulouse belle et forte;Nombre de voix de la liste : Toulouse belle et forte;Lutte ouvrière – Faire entendre le camp des travailleurs;Nombre de voix de la liste : Lutte ouvrière – Faire entendre le camp des travailleurs;Toulouse aux travailleurs, pas aux spéculateurs;Nombre de voix de la liste : Toulouse aux travailleurs, pas aux spéculateurs
10;MN;2020;V;1;31;555;10;I;1098;647;451;451;8;2;441;12;2;9;7;153;10;147;13;0;9;17;6;11;3;80;11;1;8;5;5;14;4;1;12;3
15;MN;2020;V;1;31;555;15;I;877;510;367;367;3;3;361;12;2;5;7;125;10;139;13;1;9;9;6;10;3;59;11;3;8;6;5;4;4;0;12;0
18;MN;2020;V;1;31;555;18;I;697;392;305;305;2;2;301;12;2;3;7;84;10;129;13;0;9;8;6;16;3;48;11;2;8;2;5;6;4;2;12;1
24;MN;2020;V;1;31;555;24;I;1120;633;487;487;3;2;482;12;2;6;7;153;10;179;13;0;9;18;6;12;3;90;11;1;8;3;5;17;4;3;12;0
28;MN;2020;V;1;31;555;28;I;986;625;361;361;4;3;354;12;2;11;7;120;10;94;13;1;9;9;6;23;3;78;11;3;8;6;5;7;4;2;12;0
33;MN;2020;V;1;31;555;33;I;863;524;339;339;6;0;333;12;2;2;7;55;10;164;13;1;9;27;6;18;3;46;11;2;8;4;5;11;4;0;12;3
36;MN;2020;V;1;31;555;36;I;869;498;371;371;2;0;369;12;2;7;7;96;10;140;13;0;9;26;6;9;3;77;11;1;8;4;5;5;4;3;12;1
43;MN;2020;V;1;31;555;43;I;939;541;398;398;3;1;394;12;2;0;7;110;10;170;13;0;9;16;6;13;3;65;11;2;8;11;5;7;4;0;12;0
61;MN;2020;V;1;31;555;61;I;842;491;351;351;1;3;347;12;2;3;7;72;10;182;13;0;9;13;6;7;3;51;11;0;8;4;5;14;4;0;12;1
63;MN;2020;V;1;31;555;63;I;738;407;331;331;1;2;328;12;2;5;7;33;10;226;13;0;9;5;6;10;3;33;11;3;8;5;5;8;4;0;12;0
67;MN;2020;V;1;31;555;67;I;1081;624;457;457;7;1;449;12;2;9;7;168;10;105;13;2;9;29;6;17;3;90;11;4;8;8;5;16;4;1;12;0
68;MN;2020;V;1;31;555;68;I;867;473;394;394;3;1;390;12;2;8;7;155;10;82;13;0;9;21;6;9;3;97;11;2;8;6;5;8;4;2;12;0
77;MN;2020;V;1;31;555;76;I;995;586;409;409;1;4;404;12;2;7;7;139;10;109;13;0;9;18;6;18;3;94;11;1;8;4;5;10;4;1;12;3
80;MN;2020;V;1;31;555;79;I;956;565;391;392;2;9;380;12;2;7;7;104;10;110;13;0;9;23;6;21;3;102;11;4;8;1;5;7;4;1;12;0
86;MN;2020;V;1;31;555;083A;I;891;577;314;314;3;3;308;12;2;4;7;78;10;100;13;1;9;25;6;18;3;62;11;3;8;8;5;8;4;0;12;1
89;MN;2020;V;1;31;555;86;I;798;580;218;218;1;3;214;12;2;8;7;53;10;56;13;1;9;28;6;12;3;38;11;0;8;2;5;15;4;1;12;0
91;MN;2020;V;1;31;555;88;I;708;455;253;253;3;3;247;12;2;6;7;64;10;78;13;0;9;6;6;16;3;43;11;5;8;4;5;23;4;2;12;0
94;MN;2020;V;1;31;555;91;I;801;621;180;180;6;3;171;12;2;2;7;30;10;70;13;0;9;19;6;6;3;37;11;2;8;0;5;4;4;1;12;0
201;MN;2020;V;1;31;555;195;I;1080;713;367;367;1;0;366;12;2;11;7;99;10;129;13;0;9;16;6;19;3;80;11;0;8;8;5;4;4;0;12;0
207;MN;2020;V;1;31;555;200;I;1127;789;338;339;2;3;333;12;2;3;7;78;10;112;13;1;9;23;6;18;3;75;11;2;8;6;5;14;4;0;12;1
213;MN;2020;V;1;31;555;206;I;969;574;395;394;1;5;389;12;2;6;7;138;10;112;13;0;9;29;6;27;3;54;11;6;8;3;5;11;4;3;12;0
217;MN;2020;V;1;31;555;210;I;1029;619;410;410;2;0;408;12;2;3;7;95;10;170;13;3;9;28;6;26;3;54;11;7;8;5;5;14;4;2;12;1
218;MN;2020;V;1;31;555;211;I;1049;669;380;379;2;4;374;12;2;4;7;103;10;114;13;0;9;22;6;25;3;73;11;4;8;4;5;20;4;2;12;3
226;MN;2020;V;1;31;555;219;I;206;144;62;63;0;0;62;12;2;0;7;14;10;24;13;0;9;9;6;6;3;7;11;0;8;1;5;1;4;0;12;0
228;MN;2020;V;1;31;555;221;I;777;543;234;234;3;2;229;12;2;5;7;38;10;87;13;0;9;17;6;17;3;45;11;5;8;8;5;7;4;0;12;0
233;MN;2020;V;1;31;555;226;I;1142;631;511;511;1;1;509;12;2;5;7;133;10;220;13;0;9;29;6;17;3;79;11;5;8;6;5;13;4;1;12;1
237;MN;2020;V;1;31;555;230;I;957;620;337;337;1;0;336;12;2;2;7;49;10;175;13;0;9;11;6;12;3;65;11;4;8;7;5;10;4;1;12;0
239;MN;2020;V;1;31;555;232;I;904;554;350;344;0;1;349;12;2;3;7;64;10;207;13;0;9;5;6;12;3;46;11;2;8;7;5;3;4;0;12;0
240;MN;2020;V;1;31;555;233;I;947;543;404;404;3;4;397;12;2;1;7;92;10;214;13;0;9;12;6;6;3;55;11;2;8;1;5;13;4;1;12;0
247;MN;2020;V;1;31;555;240;I;1135;791;344;344;2;4;338;12;2;6;7;67;10;136;13;1;9;13;6;20;3;64;11;5;8;10;5;14;4;1;12;1
261;MN;2020;V;1;31;555;254;I;1044;637;407;407;6;1;400;12;2;2;7;110;10;138;13;0;9;14;6;19;3;92;11;5;8;2;5;15;4;3;12;0
101;MN;2020;V;1;31;555;98;I;976;826;150;150;0;4;146;12;2;0;7;10;10;47;13;1;9;37;6;4;3;33;11;3;8;5;5;4;4;2;12;0
104;MN;2020;V;1;31;555;101;I;695;608;87;87;1;2;84;12;2;3;7;10;10;26;13;1;9;20;6;3;3;13;11;1;8;4;5;2;4;1;12;0
107;MN;2020;V;1;31;555;104;I;565;410;155;155;2;0;153;12;2;1;7;41;10;45;13;0;9;15;6;9;3;24;11;5;8;2;5;8;4;3;12;0
109;MN;2020;V;1;31;555;106;I;713;536;177;176;1;4;172;12;2;2;7;30;10;51;13;1;9;20;6;22;3;31;11;2;8;2;5;9;4;1;12;1
111;MN;2020;V;1;31;555;108;I;1016;675;341;341;5;0;336;12;2;4;7;82;10;118;13;0;9;21;6;22;3;54;11;3;8;4;5;23;4;2;12;3
116;MN;2020;V;1;31;555;112A;I;979;631;348;348;0;5;343;12;2;5;7;86;10;149;13;0;9;15;6;18;3;53;11;4;8;2;5;11;4;0;12;0
118;MN;2020;V;1;31;555;114;I;908;503;405;405;3;1;401;12;2;4;7;154;10;115;13;1;9;16;6;25;3;63;11;8;8;3;5;10;4;2;12;0
121;MN;2020;V;1;31;555;117;I;1223;824;399;399;1;2;396;12;2;7;7;122;10;107;13;0;9;38;6;18;3;92;11;1;8;4;5;6;4;1;12;0
124;MN;2020;V;1;31;555;120;I;1014;597;417;417;2;8;407;12;2;7;7;132;10;88;13;1;9;28;6;28;3;86;11;5;8;6;5;15;4;5;12;6
143;MN;2020;V;1;31;555;139;I;1011;619;392;392;5;3;384;12;2;6;7;79;10;178;13;2;9;27;6;19;3;54;11;3;8;5;5;11;4;0;12;0
153;MN;2020;V;1;31;555;149;I;1010;581;429;429;3;4;422;12;2;10;7;147;10;111;13;0;9;21;6;16;3;88;11;6;8;6;5;8;4;6;12;3
157;MN;2020;V;1;31;555;153;I;1034;636;398;398;3;3;392;12;2;5;7;134;10;113;13;0;9;32;6;14;3;73;11;2;8;4;5;9;4;3;12;3
158;MN;2020;V;1;31;555;154;I;1109;660;449;449;2;1;446;12;2;7;7;126;10;161;13;1;9;7;6;13;3;113;11;1;8;8;5;9;4;0;12;0
173;MN;2020;V;1;31;555;169;I;865;497;368;368;3;5;360;12;2;4;7;102;10;139;13;0;9;19;6;15;3;60;11;3;8;6;5;12;4;0;12;0
180;MN;2020;V;1;31;555;176;I;898;574;324;324;2;4;318;12;2;8;7;78;10;89;13;2;9;23;6;11;3;85;11;3;8;10;5;8;4;0;12;1
195;MN;2020;V;1;31;555;190;I;1296;913;383;383;2;3;378;12;2;13;7;96;10;119;13;0;9;23;6;14;3;86;11;4;8;7;5;13;4;3;12;0
200;MN;2020;V;1;31;555;194;I;1137;794;343;343;3;3;337;12;2;7;7;80;10;107;13;0;9;21;6;17;3;73;11;4;8;3;5;23;4;2;12;0
9;MN;2020;V;1;31;555;9;I;978;545;433;433;3;5;425;12;2;6;7;179;10;121;13;0;9;26;6;14;3;60;11;2;8;6;5;10;4;0;12;1
13;MN;2020;V;1;31;555;13;I;989;587;402;402;2;2;398;12;2;3;7;119;10;136;13;0;9;26;6;11;3;86;11;4;8;3;5;10;4;0;12;0
22;MN;2020;V;1;31;555;22;I;884;526;358;358;5;6;347;12;2;10;7;117;10;113;13;0;9;20;6;9;3;61;11;4;8;5;5;4;4;4;12;0
26;MN;2020;V;1;31;555;26;I;659;381;278;278;1;2;275;12;2;3;7;85;10;94;13;0;9;15;6;14;3;50;11;2;8;5;5;6;4;0;12;1
35;MN;2020;V;1;31;555;35;I;824;435;389;389;2;6;381;12;2;6;7;126;10;105;13;0;9;17;6;9;3;86;11;1;8;13;5;16;4;1;12;1
37;MN;2020;V;1;31;555;37;I;745;451;294;294;2;1;291;12;2;7;7;88;10;108;13;0;9;12;6;9;3;45;11;3;8;6;5;12;4;0;12;1
46;MN;2020;V;1;31;555;46;I;447;366;81;81;3;2;76;12;2;3;7;15;10;27;13;2;9;5;6;7;3;9;11;2;8;1;5;2;4;3;12;0
47;MN;2020;V;1;31;555;47;I;965;534;431;431;1;5;425;12;2;6;7;126;10;161;13;0;9;26;6;19;3;78;11;1;8;1;5;6;4;1;12;0
48;MN;2020;V;1;31;555;48;I;960;551;409;409;2;1;406;12;2;9;7;124;10;140;13;0;9;21;6;13;3;82;11;2;8;4;5;9;4;1;12;1
49;MN;2020;V;1;31;555;49;I;1069;602;467;467;2;7;458;12;2;8;7;107;10;195;13;2;9;23;6;16;3;90;11;3;8;5;5;9;4;0;12;0
56;MN;2020;V;1;31;555;56;I;1058;633;425;425;2;1;422;12;2;9;7;155;10;107;13;0;9;15;6;8;3;101;11;3;8;5;5;14;4;2;12;3
58;MN;2020;V;1;31;555;58;I;1187;647;540;540;5;1;534;12;2;3;7;138;10;244;13;1;9;26;6;13;3;70;11;6;8;9;5;16;4;6;12;2
60;MN;2020;V;1;31;555;60;I;1034;603;431;431;7;0;424;12;2;5;7;107;10;190;13;0;9;12;6;16;3;77;11;0;8;5;5;10;4;2;12;0
64;MN;2020;V;1;31;555;64;I;834;534;300;300;2;7;291;12;2;2;7;68;10;87;13;1;9;18;6;15;3;67;11;6;8;9;5;13;4;5;12;0
71;MN;2020;V;1;31;555;70;I;753;611;142;142;2;2;138;12;2;7;7;31;10;39;13;1;9;9;6;17;3;18;11;0;8;4;5;7;4;4;12;1
73;MN;2020;V;1;31;555;72;I;384;316;68;68;1;1;66;12;2;0;7;12;10;21;13;0;9;11;6;5;3;13;11;0;8;2;5;1;4;0;12;1
87;MN;2020;V;1;31;555;84;I;1136;605;531;531;3;6;522;12;2;10;7;157;10;136;13;0;9;32;6;27;3;133;11;1;8;4;5;17;4;3;12;2
92;MN;2020;V;1;31;555;89;I;951;725;226;226;1;2;223;12;2;0;7;40;10;82;13;0;9;19;6;15;3;35;11;2;8;2;5;27;4;0;12;1
